,sms,spam/ham_spam
1061,fr ndship is like a needl of a clock though v r in d same clock v r nt abl met evn if v meet itz onli few second bt v alwi stay conect gud t,0
1062,i don t think he ha spatula hand,0
1063,you can never do noth,0
1064,you are award a sipix digit camera call from landlin deliveri within day t cs box m bp yr warranti ppm p p,1
1065,goodmorn today i am late for lt decim gt min,0
1066,win urgent your mobil number ha been award with a prize guarante call from land line claim valid hr onli ppm,1
1067,pleas da call me ani mistak from my side sorri da pl da goto doctor,0
1068,where r we meet,0
1069,well the weather in cali s great but it complex are great you need a car to move freeli it tax are outrag but all in all it a great place the sad part is i miss home,0
1070,now onli i reach home i am veri tire now i will come tomorro,0
1071,ryder unsold now gibb,0
1072,dear subscrib ur draw gift voucher will b enter on receipt of a correct an when wa elvi presley birthday txt answer to,1
1073,don t fret i ll buy the ovul test strip and send them to you you wont get them til like march can you send me your postal address u ll be alright okay,0
1074,no gift you tri to get me to throw myself off a cliff or someth,0
1075,been up to ne thing interest did you have a good birthday when are u wrking nxt i start uni today,0
1076,you busi or can i come by at some point and figur out what we re do tomorrow,0
1077,yeah go on then bore and depress sittin waitin for phone to ring hope the wind drop though scari,0
1078,black shirt n blue jean i thk i c,0
1079,aiyah sorri lor i watch tv watch until i forgot check my phone,0
1080,messag import inform for o user today is your lucki day find out whi log onto http www urawinn com there is a fantast surpris await you,1
1081,on hen night go with a swing,0
1082,good afternoon my love how goe your day what are you up to i woke earli and am onlin wait for you hmmm italian boy is onlin i see grin,0
1083,from someon not to smoke when everi time i ve smoke in the last two week is becaus of you call or text me that you want to smoke,0
1084,no you ll just get a headach tri to figur it out u can trust me to do the math i promis o,0
1085,s s first time dhoni rock,0
1086,ok ill tell the compani,0
1087,awesom think we can get an th at usf some time tonight,0
1088,so that mean you still think of teju,0
1089,no i m good for the movi is it ok if i leav in an hourish,0
1090,no no thi is kalli home ground amla home town is durban,0
1091,so let make it saturday or monday as per conveni,0
1092,hey what time is your drive on fri we go for evalu on fri,0
1093,you have won a price to claim call,1
1094,i m go lunch now wif my famili then aft dat i go str orchard lor,0
1095,bore of speed date tri speedchat txt speedchat to if you don t like em txt swap and get a new chatter chat pobox w wq p msg rcd,1
1096,cancel cheyyamo and get some money back,0
1097,do you want anytim ani network min text and a new video phone for onli five pound per week call now or repli for deliveri tomorrow,1
1098,ok ok ok then what ur today plan,0
1099,good morn princess how are you,0
1100,aiyar sorri lor forgot tell u,0
1101,for take part in our mobil survey yesterday you can now have text use howev you wish get txt just send txt to t c www txt com p,1
1102,not tonight mate catch up on some sleep thi is my new number by the way,0
1103,height of oh shit situat a guy throw a luv letter on a gal but fall on her brother head who a gay d,0
1104,ur hmv quiz cash balanc is current to maxim ur cash in now send hmv to onli p msg,1
1105,so check your error and if you had difficulti do correct,0
1106,howz pain hope u r fine,0
1107,u wake up alreadi thanx e tau sar piah it s quit nice,0
1108,k do i need a login or anyth,0
1109,dont forget you can place as mani free request with stchoic co uk as you wish for more inform call,1
1110,lol no just wa busi,0
1111,what u wear,0
1112,oh as usual vijay film or it differ,0
1113,i don t know u and u don t know me send chat to now and let s find each other onli p msg rcvd hg suit land row w j hl ldn year or over,1
1114,have you had a good day mine wa realli busi are you up to much tomorrow night,0
1115,and is there a way you can send shade s stuff to her and she ha been wonder too,0
1116,realli i tot ur paper end long ago but wat u copi ju now got use u happi lar i still haf studi,0
1117,thank you winner notifi by sm good luck no futur market repli stop to custom servic,1
1118,babe i lost you,0
1119,ok help me ask if she s work tmr a not,0
1120,i m not drive rain then i ll get caught at e mrt station lor,0
1121,not a drop in the tank,0
1122,that said can you text him one more time,0
1123,ok i go chang also,0
1124,s of girl mani local u who r virgin thi r readi fil ur everi sexual need can u fil their text cute to p m,1
1125,did u find a sitter for kaitlyn i wa sick and slept all day yesterday,0
1126,sorri man accident left my phone on silent last night and didn t check it til i got up,0
1127,hey someth came up last min think i wun be sign up tmr hee,0
1128,he s an adult and would learn from the experi there s no real danger i just dont like peep use drug they dont need but no comment,0
1129,hey there s veggi pizza,0
1130,yun buy but school got offer plu onli,0
1131,you sure your neighbor didnt pick it up,0
1132,k i will sent it again,0
1133,well im computerless time to make some oreo truffl,0
1134,haha yeah i see that now be there in a sec,0
1135,i am not have her number sir,0
1136,lol now i m after that hot air balloon,0
1137,ok now i am in bu if i come soon i will come otherwis tomorrow,0
1138,msg r not time pass they silent say that i am think of u right now and also make u think of me at least a moment gd nt swt drm shesil,0
1139,yeah we can probabl swing by onc my roommat finish up with hi girl,0
1140,got what it take take part in the wrc ralli in oz u can with lucozad energi text ralli le to p see pack or lucozad co uk wrc itcould be u,1
1141,happi new year melodi,0
1142,dun need to pick ur gf,0
1143,yay you better not have told that to other girl either,0
1144,horribl u eat mac eat until u forgot abt me alreadi rite u take so long repli i thk it s more toot than b so b prepar now wat shall i eat,0
1145,did he say how fantast i am by ani chanc or anyth need a bigger life lift as lose the will live do you think i would be the first person die from n v q,0
1146,just nw i came to hme da,0
1147,i m outsid island head toward hard rock and you ll run into me,0
1148,to day class is there are no class,0
1149,i m in chennai velacheri,0
1150,you flippin your shit yet,0
1151,k give me a sec break a lt gt at cstore,0
1152,am i that much bad to avoid like thi,0
1153,yo you around just got my car back,0
1154,annoy isn t it,0
1155,goodmorn today i am late for lt gt min,0
1156,there s no point hangin on to mr not right if he s not makin u happi,0
1157,all will come aliv better correct ani good look figur there itself,0
1158,in that case i guess i ll see you at campu lodg,0
1159,we re done,0
1160,come to my home for one last time i wont do anyth trust me,0
1161,i wa up all night too worri about thi appt it s a shame we miss a girl night out with quizz popcorn and you do my hair,0
1162,sex up ur mobil with a free sexi pic of jordan just text babe to then everi wk get a sexi celeb pocketbab co uk more pic wk,1
1163,ok c ya,0
1164,you have new voicemail pleas call,1
1165,what he said is not the matter my mind say some other matter is there,0
1166,al he doe is moan at me if n e thin goe wrong it my fault al de argument r my fault fed up of him of himso y bother hav go thanx xx,0
1167,neft transact with refer number lt gt for rs lt decim gt ha been credit to the beneficiari account on lt gt at lt time gt lt gt,0
1168,otherwis had part time job na tuition,0
1169,i know she call me,0
1170,me also da i feel yesterday night wait til day night dear,0
1171,thank for understand i ve been tri to tell sura that,0
1172,win a year suppli of cd a store of ur choic worth enter our weekli draw txt music to ts cs www ldew com sub win ppmx,1
1173,the whole car appreci the last two dad and are have a map read semi argument but apart from that thing are go ok p,0
1174,as a sim subscrib you are select to receiv a bonu get it deliv to your door txt the word ok to no to claim p msg exp apr,1
1175,i need you to be in my strong arm,0
1176,also maaaan are you miss out,0
1177,hi bday real is in april,0
1178,guessin you ain t gonna be here befor,0
1179,ok then i will come to ur home after half an hour,0
1180,yo the game almost over want to go to walmart soon,0
1181,yeah probabl but not sure ilol let u know but person i wuldnt bother then again if ur goin to then i mite as well,0
1182,i ll text now all creepi like so he won t think that we forgot,0
1183,that would be good i ll phone you tomo lunchtim shall i to organis someth,0
1184,you have new voicemail pleas call,1
1185,damn can you make it tonight or do you want to just wait til tomorrow,0
1186,k k i m also fine when will you complet the cours,0
1187,true it is passabl and if you get a high score and appli for phd you get year of salari so it make life easier,0
1188,no nokia tone ur mob everi week just txt nok to st tone free so get txtin now and tell ur friend p tone repli hl info,1
1189,prakesh is there know,0
1190,teach me app da when you come to colleg,0
1191,rofl betta invest in some anti age product,0
1192,sir you will receiv the account no anoth hr time sorri for the delay,0
1193,repli with your name and address and you will receiv by post a week complet free accommod at variou global locat www phb com ph p,1
1194,so ll be submit da project tmr rite,0
1195,free entri into our weekli comp just send the word enter to now t c www textcomp com cust care,1
1196,ju an me lar u ll noe later,0
1197,i want to send someth that can sell fast lt gt k is not easi money,0
1198,have got few thing to do may be in pub later,0
1199,s finish meet call me,0
1200,lol ok i ll snatch her purs too,0
1201,hello drivbi quit edrunk sorri iff pthi make no senrd dnot no how dancc drum n basq ihav fun nhite x ro xxxxxxx,0
1202,how much are we get,0
1203,is ur paper in e morn or aft tmr,0
1204,dear reliev of westonzoyland all go to plan thi end too,0
1205,hope you are have a great new semest do wish you the veri best you are made for great,0
1206,oh ye i can speak txt u no hmm did u get email,0
1207,i want to show you the world princess how about europ,0
1208,nobodi can decid where to eat and dad want chines,0
1209,no shoot me i m in the doc wait room,0
1210,now i m go out dinner soon,0
1211,hello which the site to download song it urgent pl,0
1212,i do know what u mean is the king of not havin credit i m goin bed now night night sweet onli more sleep,0
1213,horribl gal me in sch do some stuff how come u got mc,0
1214,hi hun im not comin nite tell everi im sorri me hope u ava goodtim oli rang melnit ifink it mite b sort but il explain everythin on mon l rs x,0
1215,pleas call immedi as there is an urgent messag wait for you,1
1216,yeah like if it goe like it did with my friend imma flip my shit in like half an hour,0
1217,mum say we wan to go then go then she can shun bian watch da glass exhibit,0
1218,what your plan for pongal,0
1219,just wait till end of march when el nino get himself oh,0
1220,not yet chikku go to room nw i m in bu,0
1221,am also do in cbe onli but have to pay,0
1222,honey boo i m miss u,0
1223,we have sent jd for custom servic cum account execut to ur mail id for detail contact us,0
1224,yo i m at my parent gettin cash good news we pick up a downstem,0
1225,thank you so much when we skype wit kz and sura we didnt get the pleasur of your compani hope you are good we ve given you ultimatum oh we are countin down to aburo enjoy,0
1226,hungri gay guy feel hungri and up it now call just p min to stop text call p min,1
1227,ok no wahala just rememb that a friend in need,0
1228,i will see in half an hour,0
1229,im in inperialmus listen the weirdest track ever by leafcutt john sound like insect be molest someon plumb remix by evil men on acid,0
1230,hey sorri i didntgiv ya a a bellearli hunni just been in bedbut mite go thepub l tr if uwana mt up load a luv jenxxx,0
1231,serious tell her those exact word right now,0
1232,can u get phone now i wanna chat set up meet call me now on u can cum here moro luv jane xx call minmoremobsemspobox po wa,1
1233,tee hee off to lectur cheeri bye bye,0
1234,sorri chikku my cell got some problem tht y i wa nt abl to repli u or msg u,0
1235,if you still havent collect the dough pl let me know so i can go to the place i sent it to get the control number,0
1236,ok,0
1237,network oper the servic is free for t c s visit biz,1
1238,let me know how to contact you i ve you settl in a room let know you are ok,0
1239,wot u up u weirdo,0
1240,can do lor,0
1241,dont put your phone on silent mode ok,0
1242,can i meet at as where depend on where wan in lor,0
1243,wait my tv show start lor u leh still busi do ur report,0
1244,oh ho is thi the first time u use these type of word,0
1245,am i the onli one who doesn t stalk profil,0
1246,ever green quot ever told by jerri in cartoon a person who irrit u alway is the one who love u vri much but fail to express it gud nyt,0
1247,ye i thought so thank,0
1248,but if she s drinkin i m ok,0
1249,just wonder the other just took off,0
1250,night ha end for anoth day morn ha come in a special way may you smile like the sunni ray and leav your worri at the blue blue bay gud mrng,0
1251,what do you do my dog must i alway wait till the end of your day to have word from you did you run out of time on your cell alreadi,0
1252,happi new year to u too,0
1253,hey great deal farm tour am to pm pax deposit by may,0
1254,eat jap done oso aft ur lect wat got lect at rite,0
1255,hey babe i saw you came onlin for a second and then you disappear what happen,0
1256,da my birthdat in certif is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret ani way thank for the wish,0
1257,happi birthday may all ur dream come true,0
1258,aiyah u did ok alreadi lar e nydc at wheellock,0
1259,tell her i said eat shit,0
1260,sure i am drive but will reach my destin soon,0
1261,k so am i how much for an th fifti,0
1262,your daili text from me a favour thi time,0
1263,great to hear you are settl well so what s happenin wit ola,0
1264,those cocksuck if it make you feel better ipad are worthless garbag novelti item and you should feel bad for even want one,0
1265,i tot u reach liao he said t shirt,0
1266,fran i decid go n e way im complet broke an knacker i got up bout c u mrw love janx p s thi is my dad fone no credit,0
1267,your right i ll make the appoint right now,0
1268,design is softwar develop and may be she get chennai,0
1269,enjoy the jamster videosound gold club with your credit for new videosound logo musicnew get more fun from jamster co uk onli help call,1
1270,get lion england tone repli lionm mono or lionp poli more go www rington co uk the origin n best tone gbp network oper rate appli,1
1271,i jokin oni lar busi then i wun disturb,0
1272,ok be care don t text and drive,0
1273,i ll alway be there even if it just in spirit i ll get a bb soon just tri to be sure i need it,0
1274,u r too much close to my heart if u go away i will be shatter plz stay with me,0
1275,i love u babe r u sure everyth is alrit is he be an idiot txt bak girli,0
1276,how abt make some of the pic bigger,0
1277,got but got colour lor one colour is quit light n e other is darker lor actual i m done she s style my hair now,0
1278,whenevr ur sad whenevr ur gray remembr im here listn watevr u wanna say ju walk wid me a littl while amp i promis i ll bring back ur smile,0
1279,whi noth ok anyway give me treat,0
1280,win the newest harri potter and the order of the phoenix book repli harri answer question chanc to be the first among reader,1
1281,correct so how wa work today,0
1282,just sent again do you scream and moan in bed princess,0
1283,i wake up long ago alreadi dunno what other thing,0
1284,oh just get even with u u,0
1285,i thk shd be ok he said plu minu did leav a line in between paragraph,0
1286,can you call me plz your number show out of coveragd area i have urgnt call in vasai amp have to reach befor o clock so call me plz,0
1287,yeah jay s sort of a fuck retard,0
1288,sorri wa in the bathroom sup,0
1289,ur balanc is now ur next question is who sang uptown girl in the s answer txt ur answer to good luck,1
1290,my exam is for februari wish you a great day,0
1291,i dont know what to do to come out of thi so onli am ask question like thi dont mistak me,0
1292,aight no rush i ll ask jay,0
1293,good morn plz call me sir,0
1294,it s ok lar u sleep earli too nite,0
1295,oh icic k lor den meet other day,0
1296,oh a half hour is much longer in syria than canada eh wow you must get so much more work done in a day than us with all that extra time grin,0
1297,sometim we put wall around our heart not just to be safe from get hurt but to find out who care enough to break the wall amp get closer goodnoon,0
1298,sweet we may or may not go to u to meet carlo so gaug patti s interest in that,0
1299,then she buy today no need to c meh,0
1300,aight sorri i take ten year to shower what s the plan,0
1301,everi monday nxt week vl be complet,0
1302,might ax well im there,0
1303,just chill for anoth hr if you could sleep the pain is not a surgic emerg so see how it unfold okay,0
1304,yeah i ll tri to scroung someth up,0
1305,crazi ar he s marri like gd look guy not me my fren like say he s korean leona s fave but i dun thk he is aft some think mayb most prob i ll go,0
1306,were somewher on fredericksburg,0
1307,que pase un buen tiempo or someth like that,0
1308,is it ok if i stay the night here xavier ha a sleep bag and i m get tire,0
1309,she doesnt need ani test,0
1310,noth much chillin at home ani super bowl plan,0
1311,free day sexi st georg s day pic of jordan txt pic to dont miss out then everi wk a sauci celeb more pic c pocketbab co uk wk,1
1312,bugi oso near wat,0
1313,yo there no class tmrw right,0
1314,let ur heart be ur compass ur mind ur map ur soul ur guid and u will never loos in world gnun sent via way sm com,0
1315,goodnight sleep well da pleas take care pa pleas,0
1316,baaaaab i misss youuuuu where are you i have to go and teach my class at,0
1317,u ned to convinc him tht it not possibl witot hurt hi feel it the main,0
1318,good afternoon loverboy how goe you day ani luck come your way i think of you sweeti and send my love across the sea to make you smile and happi,0
1319,if i start send blackberri torch to nigeria will you find buyer for me like a month and tell dad not to buy bb from anyon oh,0
1320,lt gt of pple marri with their lover becz they hav gud undrstndng dat avoid problem i sent di u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break thi chain if you break you will suffer send thi to lt gt frnd in lt gt min whn u read,0
1321,yo dude guess who just got arrest the other day,0
1322,shuhui say chang suntec steamboat u noe where where r u now,0
1323,what doe the danc river do,0
1324,yetund i m sorri but moji and i seem too busi to be abl to go shop can you just pleas find some other way to get what you want us to get pleas forgiv me you can repli free via yahoo messeng,0
1325,hey i will be realli pretti late you want to go for the lesson first i will join you i m onli reach tp mrt,0
1326,hot live fantasi call now just p per min ntt ltd po box croydon cr wb k,1
1327,bbq thi sat at mine from ish ur welcom come,0
1328,i don t know same thing that s wrong everyso often he panick start goin on bout not bein good enough,0
1329,alright i m out have a good night,0
1330,did you tri make anoth butt,0
1331,hope you are feel great pl fill me in abiola,0
1332,i though we shd go out n have some fun so bar in town or someth sound ok,0
1333,go to write msg put on dictionari mode cover the screen with hand press lt gt gentli remov ur hand it interest,0
1334,bear pic nick and tom pete and dick in fact all type tri gay chat with photo upload call p min stop text call,1
1335,new mobil from must go txt nokia to no collect your today from onli www tc biz optout gbp mtmsg txtauction,1
1336,we re final readi fyi,0
1337,aunti huai juan never pick up her phone,0
1338,doubl min doubl txt price linerent on latest orang bluetooth mobil call mobileupd for the veri latest offer or call optout lf,1
1339,ya tel wat ur problem,0
1340,i dnt wnt to tlk wid u,0
1341,we spend our day wait for the ideal path to appear in front of us but what we forget is path are made by walk not by wait goodnight,0
1342,it ok my arm is feel weak cuz i got a shot so we can go anoth time,0
1343,pleas reserv ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve i alreadi see in net no ticket avail i want to book ticket through tackl,0
1344,storm msg wen u lift d phne u say hello do u knw wt is d real mean of hello it s d name of a girl ye and u knw who is dat girl margaret hello she is d girlfrnd f grahmbel who invnt telphon moral one can get d name of a person bt not hi girlfrnd g o o d n i g h t,0
1345,that s ok i pop in to ask bout someth and she said you d been in are you around tonght wen thi girl come,0
1346,all e best ur exam later,0
1347,hope ur head doesn t hurt much am plough my way through a pile of iron stay in with a chinki tonight come round if you like,0
1348,oh k i think most of wi and nz player unsold,0
1349,haha where got so fast lose weight thk muz go a month den got effect gee later we go aust put bk e weight,0
1350,i wonder how you got onlin my love had you gone to the net cafe did you get your phone recharg were you on a friend net i think of you boytoy,0
1351,haha just kid papa need drug,0
1352,thk shld b can ya i wana go lesson haha can go for one whole stretch,0
1353,oh ok,0
1354,r we still meet dinner tonight,0
1355,that cool i am a gentleman and will treat you with digniti and respect,0
1356,shall i start from hear,0
1357,then we wait u lor no need feel bad lar,0
1358,no did you check i got hi detail messag now,0
1359,you have regist sinco as paye log in at icicibank com and enter urn lt gt to confirm bewar of fraud do not share or disclos urn to anyon,0
1360,no i decid that onli peopl who care about stuff vote and care about stuff is for loser,0
1361,kaiez enjoy ur tuition gee thk e second option sound beta i ll go yan jiu den msg u,0
1362,cool we will have fun practic make babi,0
1363,actual get readi to leav the hous,0
1364,k k ani special today,0
1365,urgent import inform for o user today is your lucki day find out whi log onto http www urawinn com there is a fantast surpris await for you,1
1366,then we gotta do it after that,0
1367,i ve got ten buck jay is be noncomitt,0
1368,where at were hungri too,0
1369,pl speak to that custom machan,0
1370,somewher out there beneath the pale moon light someon think in of u some where out there where dream come true goodnit amp sweet dream,0
1371,dear u ve been invit to xchat thi is our final attempt to contact u txt chat to p msgrcvdhg suit land row w j hl ldn yr,1
1372,so wat ur opinion abt him and how abt is charact,0
1373,jay is snicker and tell me that x is total fuck up the chord as we speak,0
1374,no few hour befor went to hair cut,0
1375,no wonder co i dun rem see a silver car but i thk i saw a black one,0
1376,lmao take a pic and send it to me,0
1377,speak onli when you feel your word are better than the silenc gud mrng,0
1378,no she s current in scotland for that,0
1379,do you work all thi week,0
1380,congratul ur award either of cd gift voucher free entri our weekli draw txt music to tnc www ldew com win ppmx age,1
1381,lol great now im get hungri,0
1382,ye now onli saw your messag,0
1383,i ll be at mu in like lt gt second,0
1384,thing r good thanx got exam in march ive done no revis is fran still with boyf ive gotta interviw exet bit worri x,0
1385,tell you what if you make a littl spreadsheet and track whose idea it wa to smoke to determin who smoke too much for the entir month of februari i ll come up,0
1386,for sale arsen dartboard good condit but no doubl or trebl,1
1387,don t look back at the build becaus you have no coat and i don t want you to get more sick just hurri home and wear a coat to the gym,0
1388,my pain person thought i alway tri to keep everybodi happi all the time but nobodi recognis me when i am alon,0
1389,thank for ve love wish you rock,0
1390,you intrepid duo you have a great time and see you both soon,0
1391,i ask sen to come chennai and search for job,0
1392,dad went out oredi,0
1393,i ju hope it true that missin me co i m realli missin him you haven t done anyth to feel guilti about yet,0
1394,wat so late still earli mah or we juz go dinner lor aiya i dunno,0
1395,arm fine how s cardiff and uni,0
1396,in fact when do you leav i think addi goe back to school tue or wed,0
1397,cool breez bright sun fresh flower twitter bird all these wait to wish u goodmorn amp have a nice day,0
1398,ya go for restaur,0
1399,it ok i just askd did u knw tht no,0
1400,free st week entri textpod a chanc win gb ipod or cash everi wk txt pod to ts cs www textpod net custcar,1
1401,those duck chinchilla,0
1402,i am in a marriag function,0
1403,look like u wil b get a headstart im leav here bout ish but if u r desper for my compani i could head in earlier we were goin to meet in rummer,0
1404,don t give a fli monkey wot they think and i certainli don t mind ani friend of mine and all that,0
1405,as a regist optin subscrib ur draw gift voucher will be enter on receipt of a correct an to what no in the bbc chart,1
1406,say thank,0
1407,msg me when rajini come,0
1408,ya when are take ure practic lesson i start in june,0
1409,that s good becaus i need drug,0
1410,stupid it not possibl,0
1411,can all decid faster co my si go home liao,0
1412,summer final here fanci a chat or flirt with sexi singl in yr area to get match up just repli summer now free join optout txt stop help,1
1413,u sleep now or you go to take haha i got spi wat me onlin check n repli mail lor,0
1414,clair here am havin borin time am now alon u wanna cum over nite chat now hope c u luv clair xx call minmoremobsemspobox po wa,1
1415,bought one rington and now get text cost pound offer more tone etc,1
1416,yalru lyfu astn chikku bt innu mundh lyf ali halla ke bilo marriag program edha so lyf is nt yet ovr chikku ali vargu lyfu meow meow d,0
1417,kinda first one get in at twelv aah speak tomo,0
1418,urgent your mobil no xxxxxxxxx won a bonu caller prize on thi is the nd attempt to reach you call asap,1
1419,ok good then i later come find c lucki i told to go earlier later pple take finish no more again,0
1420,wat make u thk i ll fall down but actual i thk i m quit prone fall lucki my dad at home i ask him come n fetch me alreadi,0
1421,you are guarante the latest nokia phone a gb ipod mp player or a prize txt word collect to no tc llc ny usa p mt msgrcvd,1
1422,i wont touch you with out your permiss,0
1423,hi it luci hubbi at meetin all day fri i will b alon at hotel u fanci cumin over pl leav msg day luci x call minmobsmorelkpobox hp fl,1
1424,wonder in my world th you th ur style th ur smile th ur person rd ur natur nd ur sm and st ur love friendship good morn dear,0
1425,take some small dose tablet for fever,0
1426,oh u must have taken your real valentin out shop first,0
1427,just sent you an email to an address with incomm in it is that right,0
1428,will do you gonna be at blake s all night i might be abl to get out of here a littl earli,0
1429,friendship is not a game to play it is not a word to say it doesn t start on march and end on may it is tomorrow yesterday today and e,0
1430,nice wait should you be text right now i m not gonna pay your ticket ya know,0
1431,i m watch lotr w my si di aft so u wan meet me dinner at nite a not,0
1432,whi you keep me away like thi,0
1433,i think it far more than that but find out check googl map for a place from your dorm,0
1434,my trip wa ok but quit tire lor uni start today but it s ok me co i m not take ani modul but ju concentr on my final yr project,0
1435,have you alway been say welp,0
1436,i m a guy browsin is compulsori,0
1437,puriti of friendship between two is not about smile after read the forward messag it about smile just by see the name gud evng musthu,0
1438,i should add that i don t realli care and if you can t i can at least get thi dude to fuck off but hey your money if you want it,0
1439,hello lover how goe that new job are you there now are you happi do you think of me i wake my slave and send you a teas kiss from across the sea,0
1440,i told your number to gautham,0
1441,tell them no need to investig about me anywher,0
1442,ok i juz receiv,0
1443,cant believ i said so mani thing to you thi morn when all i realli want to say wa good morn i love you have a beauti morn see you in the librari later,0
1444,your account ha been credit with free text messag to activ just txt the word credit to no t cs www biz,1
1445,in the end she might still vomit but it okay not everyth will come out,0
1446,how are you with money as in to you money aint a thing how are you sha,0
1447,it ha everyth to do with the weather keep extra warm it a cold but noth seriou pl lot of vitamin c,0
1448,hey gal anyon of u go down to e drive centr tmr,0
1449,i m alway on yahoo messeng now just send the messag to me and i ll get it you may have to send it in the mobil mode sha but i ll get it and will repli,0
1450,i m put it on now it should be readi for lt time gt,0
1451,time n smile r the two crucial thing in our life sometim time make us to forget smile and sometim someon s smile make us to forget time gud noon,0
1452,sm ac jsco energi is high but u may not know where channel it day ur leadership skill r strong psychic repli an w question end repli end jsco,1
1453,host base idp for linux system,0
1454,hot live fantasi call now just p per min ntt ltd po box croydon cr wb is a nation rate call,1
1455,don no da what you plan,0
1456,ill be there on lt gt ok,0
1457,oh my god i m almost home,0
1458,total video convert free download type thi in googl search,0
1459,thank for the vote now sing along with the star with karaok on your mobil for a free link just repli with sing now,1
1460,sound like someth that someon test me would sayi,0
1461,when u love someon dont make them to love u as much as u do but love them so much that they dont want to be love by anyon except you gud nit,0
1462,pete is thi your phone still it jenni from colleg and leann what are you up to now,0
1463,oop sorri just to check that you don t mind pick me up tomo at half eight from station would that be ok,0
1464,hey sweet i wa wonder when you had a moment if you might come to me i want to send a file to someon but it won t go over yahoo for them becaus their connect suck rememb when you set up that page for me to go to and download the format disc could you tell me how to do that or do you know some other way to download big file becaus they can download stuff directli from the internet ani help would be great my prey teas kiss,0
1465,how the champ just leav glasgow,0
1466,k all the best congrat,0
1467,i wonder if you ll get thi text,0
1468,i need to come home and give you some good lovin,0
1469,our brand new mobil music servic is now live the free music player will arriv shortli just instal on your phone to brows content from the top artist,1
1470,shall i ask one thing if you dont mistak me,0
1471,check wid corect spele i e sarcasm,0
1472,urgent your mobil no wa award a bonu caller prize on thi is our nd attempt to contact you call box qu bt nation rate,1
1473,are you angri with me what happen dear,0
1474,i thk u dun haf hint in e forum alreadi lor co i told ron n darren is go tell shuhui,0
1475,yup ok thanx,0
1476,hi ct employe how are you,0
1477,pl pl find out from aunt nike,0
1478,wow i love you sooo much you know i can bare stand it i wonder how your day goe and if you are well my love i think of you and miss you,0
1479,no scream mean shout,0
1480,hey what happen de are you alright,0
1481,should i have pick up a receipt or someth earlier,0
1482,i think chennai well settl,0
1483,oh dang i didn t mean o send that to you lol,0
1484,unfortun i ve just found out that we have to pick my sister up from the airport that even so don t think i ll be go out at all we should tri to go out one of th,0
1485,horribl bf i now v hungri,0
1486,rememb on that day,0
1487,you have won a nokia i thi is what you get when you win our free auction to take part send nokia to now hg suit land row w jhl,1
1488,how s it feel mr your not my real valentin just my yo valentin even tho u hardli play,0
1489,all sound good finger make it difficult to type,0
1490,midnight at the earliest,0
1491,you re not sure that i m not tri to make xavier smoke becaus i don t want to smoke after be told i smoke too much,0
1492,k come to nordstrom when you re done,0
1493,do u konw waht is rael friendship im gving yuo an exmpel jsut ese tih msg evrey splle of tih msg is wrnog bt sitll yuo can ra it wihtuot ayn mitsak goodnight amp have a nice sleep sweet dream,0
1494,now press confer da,0
1495,hello from orang for month s free access to game news and sport plu free text and photo messag repli ye term appli www orang co uk ow,1
1496,after complet degre there is no use in join financ,0
1497,good afternoon my love ani job prospect are you miss me what do you do are you be lazi and bleak hmmm or happi and fill with my love,0
1498,shant disturb u anymor jia you,0
1499,bishan lar nearer no need buy so earli co if buy now i gotta park my car,0
1500,me i dont know again oh,0
1501,dude sux for snake he got old and raiden got buff,0
1502,he say hi and to get your ass back to south tampa prefer at a kegger,0
1503,in e msg ju now u said thank for gift,0
1504,u too,0
1505,ok how you dear did you call chechi,0
1506,yeah we do tote when u wanna,0
1507,ok i found di pierr cardin one which look normal cost it on sale,0
1508,good sleep is about rhythm the person ha to establish a rhythm that the bodi will learn and use if you want to know more,0
1509,wat r u do,0
1510,messag from i am at truro hospit on ext you can phone me here as i have a phone by my side,0
1511,singl line with a big mean miss anyth ur best life but don t miss ur best life for anyth gud nyt,0
1512,just got some ga money ani chanc you and the gang want to go on a grand natur adventur,0
1513,dnt worri use ice piec in a cloth pack also take tablet,0
1514,dude just saw a park car with it sunroof pop up sux,0
1515,get readi to put on your excel sub face,0
1516,tmrw im finish door,0
1517,the lt gt g that i saw a few day ago the guy want sell wifi onli for lt gt and with g for lt gt that s whi i blank him,0
1518,i am late i will be there at,0
1519,whatev im pretti piss off,0
1520,i dont have that much imag in class,0
1521,no i got rumour that you go to buy apart in chennai,0
1522,near kalainar tv offic thenampet,0
1523,ur cash balanc is current pound to maxim ur cash in now send go to onli p msg cc hg suit land row w j hl,1
1524,sm auction a brand new nokia is up auction today auction is free join take part txt nokia to now hg suit land row w j hl,1
1525,my si is catch e show in e afternoon so i m not watch w her so c u wan watch today or tmr lor,0
1526,sound gd haha can wah u yan jiu so fast liao,0
1527,no to be nosi i guess idk am i over react if i m freak,0
1528,rememb all those whom i hurt dure day of satan impost in me need to pay a price so be it may destini keep me go and as u said pray that i get the mind to get over the same,0
